accom_id,type,name,district,address ,phone,mail,URL,room,review
1,國際觀光旅館,漢來大飯店,前金區,高雄市前金區成功一路266號1樓、2樓、10-13樓、15-19樓、22-42樓,07-2161766,service@grand-hilai.com,http://www.grand-hilai.com,540,9.1
2,國際觀光旅館,高雄福華大飯店,新興區,高雄市新興區七賢一路311號,07-2362323,jerry-ks@howard-hotels.com.tw,http://kaohsiung.howard-hotels.com.tw/,271,5.3
3,國際觀光旅館,義大皇家酒店,大樹區,高雄市大樹區三和村學城路1段153號,07-6568111,info@edaroyal.com.tw,http://www.edaroyal.com.tw,656,4.3
4,國際觀光旅館,承攜行旅 高雄六合館,前金區,高雄市前金區六合二路279號,07-2411022,,https://guidehotel.com.tw/hotel/%E6%89%BF%E6%94%9C%E8%A1%8C%E6%97%85-%E9%AB%98%E9%9B%84%E5%85%AD%E5%90%88%E9%A4%A8/,269,8.7
5,星級旅館,三華大飯店,新興區,800高雄市新興區六合一路92號3-10樓,07-2392222,sanhuahotel@gmail.com,,125,4.8
6,星級旅館,靉嗨三多行旅,苓雅區,802高雄市苓雅區林森二路84-2號3-8樓,07-3301117,ihishotel@gmail.com,,42,7
7,星級旅館,康橋商旅-六合夜市七賢館,新興區,800高雄市新興區同愛街28號1樓、30號,07-2885588,h015.hotel@msa.hinet.net,,195,4.8
8,星級旅館,高雄統茂松柏大飯店,新興區,"800高雄市新興區和平一路219號1,3,4,7-11樓",07-2232251,taw@uniongo.com.tw,http://www.evergreen-hotel.com.tw,191,4.1
9,星級旅館,高雄商旅,新興區,"800高雄市新興區民族二路33號1,4-10樓,37號1,3-10樓",07-2221333,urban-hotel33@hanhsien.com.tw,http://www.han-hsien.com.tw/urban/index.php,167,8.7
10,星級旅館,好地方飯店六合館,前金區,801高雄市前金區七賢二路207號,07-2162330,yongyuehotel7@gmail.com,,115,6.4
11,星級旅館,歐遊國際連鎖精品旅館(高雄館),苓雅區,802高雄市苓雅區建國一路73號,07-7493333,service@allurmotel.com,http://www.allurmotel.com,97,4.7
12,星級旅館,希望殿堂精緻商旅,三民區,807高雄市三民區自立一路303號,07-3131303,service@wishinn.com.tw,http://www.wishinn.com.tw,87,7.2
13,星級旅館,高雄信宗大飯店,三民區,807高雄市三民區建國三路487號,07-9738666,kaohsiung.ahotel@gmail.com,https://www.ahotel.tw/,81,5.5
14,星級旅館,皇家金宸大飯店,鳳山區,830高雄市鳳山區國泰路一段288號,07-7405999,chien56@hotmail.com,http://www.royalgoldhotel.com,161,7.8
15,旅館,義大天悅飯店,大樹區,840高雄市大樹區義大八街100號,07-6568010,alice.huang@edaroyal.com.tw,http://www.edaskylark.com.tw,358,7.6
16,旅館,高雄洲際酒店,前鎮區,806高雄市前鎮區新光路33號1樓、3~16樓,07-3392111,grace.lin@ihg.com,https://ickaohsiung.com/,253,8.5
17,旅館,天藝商旅,前金區,801高雄市前金區六合二路149號1樓 147號3至11樓,07-2869008,lc.uo@msa.hinet.net,https://www.skyonehoteltw.com/,215,4.8
18,旅館,捷絲旅高雄中正館,苓雅區,802高雄市苓雅區中正一路134號,07-9723568,fo.zz@justsleep.com.tw,http://www.justsleep.com.tw/kaohsiuang/sh/index,158,9.5
19,旅館,水京棧國際酒店,鼓山區,804高雄市鼓山區明華路366號,07-5537001,rv@h2ohotel.com.tw,http://www.h2ohotel.com.tw/zh-tw,157,4.5
20,旅館,巨蛋旅店,鼓山區,804高雄市鼓山區文忠路1號,07-5868388,marketing@hotelr14.com,https://www.hotelr14.com,105,6.7
21,旅館,國眾大飯店,三民區,807高雄市三民區建國二路268號,07-2370117,service@nice-hotel.com.tw,http://www.nice-hotel.com.tw/about-us.html,103,6.7
22,旅館,龍華旅館,旗山區,842高雄市旗山區花旗二路300巷2號,07-6622018,,,72,7.8
23,旅館,凱羅藝術大飯店,三民區,807高雄市三民區天祥一路68號1-7樓,07-3475800,karo@karo.com.tw,http://www.karo.com.tw,60,5.3
24,旅館,御宿商旅中山館,苓雅區,802高雄市苓雅區興中二路11-2號4-10樓,07-3348101,royal2240022@yahoo.com.tw,,60,7.1
25,旅館,世國商務旅館,新興區,800高雄市新興區民主橫路64號,07-2876151,c0930939577@yahoo.com.tw,,49,5
26,旅館,凱莎琳庭園大飯店,前金區,801高雄市前金區文武三街145號,07-2152158,kp_hotel@yahoo.com.tw,,48,6.6
27,旅館,苓雅大飯店,苓雅區,802高雄市苓雅區四維四路69-1號,07-3341211,,,48,6.1
28,旅館,假期旅店,新興區,800高雄市新興區中正四路72號,07-2887751,k1.jchotel@msa.hinet.net,http://www.holidayhotel.com.tw,46,4.4
29,旅館,上陞商務旅館,三民區,807高雄市三民區南華路231號,07-2380116,,,46,4.6
30,旅館,紅舍客棧旅店,前鎮區,806高雄市前鎮區林森三路94號5-9樓,07-3386555,redhotel55@gmail.com,,46,7.6
31,旅館,崧泰旅店,前金區,"801高雄市前金區五福三路79號6,7樓之1,2",07-2153468,sungtaihotel79@gmail.com,https://www.sungtai-hotel.com,38,8
32,旅館,情憶汽車旅館,小港區,812高雄市小港區桂忠街5巷2號,07-7916060,m7916060@yahoo.com.tw,,37,9.8
33,旅館,簡愛汽車旅館,鳳山區,830高雄市鳳山區錦田路161號,07-8419999,merryseasons@gmail.com,,31,8.2
34,旅館,玫瑰花園汽車旅館,旗山區,842高雄市旗山區東平里東圳巷9-8號,07-6629898,orange6623268@yahoo.com.tw,,31,7.9
35,旅館,花鄉商旅左營館,左營區,813高雄市左營區左營大路22號5-7樓,07-5882797,kin.leng@msa.hinet.net,http://www.kin-lengmotel.com.tw/,24,4.5
36,旅館,日光河堤時尚旅店,前金區,801高雄市前金區光復二街191號,07-2411177,riverbankhotel1@gmail.com,,24,8.2
37,旅館,璟宸商務旅館,楠梓區,811高雄市楠梓區隆昌里軍校路800號8樓,07-3651333,jingchen.hotel@gmail.com,,23,6.5
38,旅館,秧秧微旅,新興區,800高雄市新興區中山一路14號12樓,07-2315020,jezreelinn@gmail.com,http://www.fscebook.com/JezreelinnJI/,21,7.1
39,旅館,輕旅宿商務旅館,苓雅區,802高雄市苓雅區新光路26-4號,07-3320188,travelyoung888@gmail.com,http://www.tyhotel.com.tw,20,7.4
40,旅館,高源大旅社,三民區,807高雄市三民區南華路225號,07-2357101,,,20,9.3
41,旅館,高雄港區-棧貳沐居,鼓山區,804高雄市鼓山區蓬萊路17號2樓西側,07-5317568,kpldservice@kpld.com.tw,https://www.kw2.com.tw/,19,8.5
42,旅館,愛迪亞旅社,前金區,801高雄市前金區新盛一街53號之1至之3,07-2864343,,,18,6.5
43,旅館,安迪旅館,大寮區,831高雄市大寮區周廣街5號,07-7882933,andyhotel168@gmail.com,,18,4.2
44,旅館,良辰吉時精品旅店,前金區,801高雄市前金區六合二路160號7樓,07-2411777,TheAuspiciousBoutiqueHotel@yahoo.com.tw,https://www.taiwanstay.net.tw/tourism_web/index.php,15,6.8
45,旅館,光華大旅社,岡山區,820高雄市岡山區嘉新西路75號,07-6217635,a0936122105@gmail.com,,15,8.9
46,旅館,藍天商務旅館,苓雅區,802高雄市苓雅區自強三路5號14樓之1、2、3、5、 6、7、8、9、10、11、12、13、14、21、22、23,07-5665112,bluesky0928688738@gmail.com,,15,5.6
47,旅館,美興大旅社,美濃區,843高雄市美濃區中山路一段49號,07-6812102,,,12,5.2
48,旅館,遊大俠旅店,新興區,800高雄市新興區中正三路128號,07-2360677,master.chitow@gmail.com,,8,4
49,旅館,美麗島福憩旅店,新興區,800高雄市新興區六合二路10號11樓,0906-871011,hotelblessing@gmail.com,https://160491559483.web.fullinn.tw/,8,7.3
50,旅館,嘉一大旅社,林園區,832高雄市林園區文賢里康樂街39號,07-6412042,,,7,8.2
51,民宿,中正湖民宿,美濃區,843高雄市美濃區福美路30號,07-6812736,,,5,9.1
52,民宿,湖美茵/快樂/天然,美濃區,843高雄市美濃區中山路2段782巷52號,07-6817828,,,3,6.5
53,民宿,呼頌民宿渡假村,那瑪夏區,849高雄市那瑪夏區平和巷210號,0987-334248,,,4,7
54,民宿,月光山林,杉林區,846高雄市杉林區桐竹路209號,07-6772586,,,5,4.9
55,民宿,菸城民宿,美濃區,843高雄市美濃區中華路7巷17號,07-6851110,,,2,4.3
56,民宿,妞妞與夢卡溫泉民宿,六龜區,844高雄市六龜區寶來里中正路16號,07-6881725,,,5,7.9
